Loc. X,Loc. Y,Loc. Z,focal length
[m],[m],[m],[m]
9.985057,182.445829,0,192.951242242154
-9.985057,182.445829,0,192.951242242154
231.067224,156.01073,0,285.61409258333
-231.067224,156.01073,0,285.61409258333
258.531299,288.559467,0,392.363350171689
-258.531299,288.559467,0,392.363350171689
174.867462,421.353536,0,460.392692780875
-174.867462,421.353536,0,460.392692780875
243.364133,178.541091,0,308.134747158304
-243.364133,178.541091,0,308.134747158304
233.181215,348.207886,0,423.634525152832
-233.181215,348.207886,0,423.634525152832
150.924895,430.510287,0,460.392692322091
-150.924895,430.510287,0,460.392692322091
69.755851,488.368132,0,497.205501882173
-69.755851,488.368132,0,497.205501882173
241.915409,302.625071,0,392.363350364674
-241.915409,302.625071,0,392.363350364674
213.255023,360.755466,0,423.634525367808
-213.255023,360.755466,0,423.634525367808
149.701185,207.388632,0,263.181476310997
-149.701185,207.388632,0,263.181476310997
51.166496,453.32044,0,460.392692855471
-51.166496,453.32044,0,460.392692855471
192.655517,372.164027,0,423.634525532792
-192.655517,372.164027,0,423.634525532792
240.549469,224.174982,0,334.607934142157
-240.549469,224.174982,0,334.607934142157
25.623699,455.478713,0,460.392693194168
-25.623699,455.478713,0,460.392693194168
0,456.198895,0,460.392693034133
133.608486,124.639297,0,192.951242255308
-133.608486,124.639297,0,192.951242255308
177.261369,91.678844,0,208.97512621585
-177.261369,91.678844,0,208.97512621585
152.158878,71.836028,0,179.323002074568
-152.158878,71.836028,0,179.323002074568
186.505449,109.774301,0,225.119256543571
-186.505449,109.774301,0,225.119256543571
228.681745,196.996655,0,308.134747435978
-228.681745,196.996655,0,308.134747435978
229.880003,271.56039,0,361.156283617262
-229.880003,271.56039,0,361.156283617262
126.50581,438.307782,0,460.392692954086
-126.50581,438.307782,0,460.392692954086
149.69864,391.423719,0,423.634524813123
-149.69864,391.423719,0,423.634524813123
120.923706,44.715497,0,143.059492326554
-120.923706,44.715497,0,143.059492326554
196.617772,130.697026,0,244.09887519505
187.70665,338.926559,0,392.363350543604
-187.70665,338.926559,0,392.363350543604
-196.617772,130.697026,0,244.09887519505
101.687307,444.721399,0,460.392692311063
-101.687307,444.721399,0,460.392692311063
181.05437,306.282838,0,361.156284383134
-181.05437,306.282838,0,361.156284383134
224.535716,315.735191,0,392.363350219461
-224.535716,315.735191,0,392.363350219461
49.822559,352.289049,0,361.156283941776
-49.822559,352.289049,0,361.156283941776
127.476899,399.214042,0,423.634525397345
-127.476899,399.214042,0,423.634525397345
9.962265,114.351136,0,130.458533750846
-9.962265,114.351136,0,130.458533750846
76.547744,449.730891,0,460.392692634389
-76.547744,449.730891,0,460.392692634389
